Name,Operator,StationType,Street,StreetNumber,PostalCode,Town,Country,Latitude,Longitude,Phone,Email,Website,RatingStars,TotalVotes
My Car Plugin,Makis Papadakis,commercial,Iroon Politexneiou,7,96468,Karditsa,Greece,38.859484,24.008461,5697191180,giannislove2008@gmail.us,https://email.minister.ntua.in.ddl,3.38,28
My Car,Vasilis Georgiou,public,Peiraios,208,68462,Lamia,Greece,38.081554,21.271841,5971661788,giannisrandom1958@hotmail.us,https://www2.mama.ece.ntua.met.mp4,2.6,186
Electric Car Plugin,Manolis Papadopoulos,private,Ermou,130,25183,Lamia,Greece,37.786374,21.288281,2125896741,giorgosworld1974@mailfence.gr,https://www.starwars.mechan.uk.html,2.6,178
Public Car,Maria Kapodistrias,military,Sotiros,189,88787,Thessaloniki,Greece,38.484234,22.257071,6721440906,operatorlove1968@info.met,https://email.starwars.softeng.com.pdf,2.08,33
E-Autonomous Home,Mixalis Oikonomou,public,Vasileos Konstantinou,94,72782,Athens,Greece,37.672454,21.730171,2968208025,giannispapadakis2006@protonmail.met,https://telnet.starwars.mechan.in.pdf,1.34,134
BP Vehicle Charger,Kostas Papadakis,military,Kokkinopoulou,209,28138,Athens,Greece,39.321034,21.768981,8072866833,mariapapadakis1956@mail.ntua.eu,https://www2.filesystem.home.gr.pdf,4.06,148
Electric Station,Giorgos Kolokotronis,private,Agiou Alexandrou,63,32040,Thessaloniki,Greece,37.695034,22.103821,3498653164,faviconpapadakis1954@ece.ntua.ger,https://telnet.bing.ntua.it.mp4,3.14,114
E-Autonomous Station,Dimitra Papadakis,commercial,Kifisias,169,24191,Livadia,Greece,37.590744,22.197151,8727957677,faviconsupertroll1965@yahoo.in,https://snr.bing.softeng.in.json,2.77,9
Super Home,Vasilis Takoroni,military,Kokkinopoulou,161,92007,Lamia,Greece,37.857834,23.115211,1478171317,mariaellada1969@yahoo.gr,https://www2.minister.ece.ntua.gr.htm,4.08,86
Military Car Plugin,Makis Kolokotronis,commercial,Sotiros,106,55910,Irakleio,Greece,38.822724,21.516461,2564054203,johnrandom2014@gmail.eu,https://telnet.minister.softeng.eu.mp3,1.91,20
Super Vehicle Charger,Manolis Sotiropoulos,military,Dionisiou Aeropagitou,24,39461,Athens,Greece,39.540354,22.725191,5488950385,mariarandom1994@outlook.met,https://email.poetry.ntua.com.mp3,2.54,179
Public Car Plugin,Maria Kapodistrias,military,Axilleos,146,50288,Karditsa,Greece,39.381734,21.647601,8302878034,giorgoslove1956@protonmail.met,https://snr.google.mechan.ger.pdf,1.42,11
