Username, HashedPassword,Name,Surname,Birthdate,BonusPoints,Phone
user1, b'e\'\x9ebY\x8e\xb6\xbbB\xe0 \xf0\x17\xd7l\x8a\xf9ps$"B{\xa3vvW\x1a\xbb\x1c\x9f\x98', Marios,Papathanasiou,1967/2/26,5,6977708013
Anna,Iordanidou,1989/9/4,40,6932550098
Elpida,Kalogirou,1995/1/3,15,6947868804
Andreas,Theodorou,1972/3/1,100,6908551239
Eleni,Chatzi,1955/5/5,0,6977808923
Alexandros,Antonopoulos,1991/4/8,10,6990455510
Apostolos,Stavrianos,1960/7/7,25,6930018111
Mirto,Dimaki,2000/11/23,125,6912399902
Stamatina,Giannopoulou,1979/10/12,140,6940870011
Konstantinos,Petridis,1980/1/21,50,6973566120
Petros,Anastasiou,1951/3/20,0,6901022678
Margarita,Chatzithoma,1999/7/11,35,6940508120
Georgia,Papanastasiou,1990/9/9,80,6987060122
Christos,Komninos,1976/4/1,45,6952433914
Stylianos,Andreadakis,1981/6/30,60,6956907213
Vasileios,Kechagioglou,1962/3/31,10,6980701135
Danai,Apostolidi,1959/10/10,0,6939082556
Stefanos,Adamiakis,1975/2/21,0,6947128805
Pinelopi,Vasileiou,1986/5/29,25,6971200090
Markos,Dimitropoulos,1994/2/4,30,6971263393
Dionysios,Vlachos,1983/12/3,160,6982123240
Sofia,Eythimiou,1964/4/4,110,6978889815
Athina,Strati,1969/2/15,75,6930855440
Ioannis,Kriezis,1963/4/21,60,6978112560
Maria, Papadopoulou, 2000/4/5,25,6932475876
