Name,Operator,StationType,Street,StreetNumber,PostalCode,Town,Country,Latitude,Longitude,Phone,Email,Website,RatingStars,TotalVotes
Public Car,Mixalis Georgiou,private,Kifisias,145,20292,Patra,Greece,38.531014,23.663701,3017361144,usersupertroll1976@mail.ntua.it,https://telnet.fancy.mechan.gr.docx,2.83,3
Public Home,Marios Oikonomou,commercial,Bouboulinas,25,81171,Trikala,Greece,39.408274,23.967121,7906754136,providerellada1965@ece.ntua.com,https://www2.fancy.mechan.met.ddl,1.58,46
Euro Home,Stella Kapodistrias,military,Vasileos Konstantinou,109,37784,Livadia,Greece,38.397994,23.267711,4825230422,lordellada1953@protonmail.it,https://email.google.mechan.uk.xlm,3.55,5
Public Car,Stella Georgiou,commercial,Kokkinopoulou,212,56066,Irakleio,Greece,37.460054,23.287711,5507168818,operatorpapadakis1993@mail.ntua.eu,https://www2.webpage.ntua.us.pdf,1.54,31
Euro Home,Xenia Oikonomou,private,Ilioupoleos,243,44899,Karditsa,Greece,38.610334,22.220671,4009463401,providerellada1986@protonmail.met,https://snr.filesystem.softeng.com.pdf,0.57,34
My Vehicle Charger,Vasilis Loulakis,public,Sotiros,6,90751,Patra,Greece,39.488784,22.624801,7295653363,userforthewin1968@protonmail.uk,https://www2.legal.ntua.uk.pdf,1.91,38
Super Car,Xenia Kapodistrias,military,Thiseos,123,27435,Livadia,Greece,38.606004,22.846291,4274162830,mariaforthewin1977@protonmail.gr,https://snr.starwars.softeng.in.mp3,3.17,20
Euro Car Plugin,Stella Sotiropoulos,military,Peiraios,16,95838,Patra,Greece,38.097184,23.345301,4908809880,faviconrandom2020@ece.ntua.met,https://snr.minister.softeng.met.ddl,4.27,94
Super Station,Giannis Kolokotronis,commercial,Thiseos,186,32119,Patra,Greece,39.202674,23.041171,7670630120,faviconforthewin2003@yahoo.uk,https://snr.webpage.mechan.ger.mp3,2.72,167
E-Autonomous Car,Elena Takoroni,private,Kifisias,209,38777,Lamia,Greece,38.564344,23.468881,4989810850,mariarandom2011@yahoo.com,https://snr.bing.home.com.docx,3.32,6
Euro Vehicle Charger,Maria Georgiou,public,Poseidonos,248,98598,Karditsa,Greece,37.336114,22.020721,4932077419,mariaellada1957@hotmail.gr,https://snr.fancy.ece.ntua.eu.htm,4.72,32
Super Station,Mixalis Kolokotronis,commercial,Sotiros,10,47294,Livadia,Greece,37.927334,23.051301,5756879432,giannisforthewin2012@gmail.gov,https://snr.starwars.ece.ntua.met.json,2.93,8
Electric Car Plugin,Giorgos Papadopoulos,public,Poseidonos,161,34356,Alexandroupoli,Greece,38.561394,21.435621,3082738280,faviconlove1985@outlook.gov,https://www.fancy.softeng.in.mp4,0.47,69
National Home,Kostas Kapodistrias,military,Kokkinopoulou,156,62571,Larisa,Greece,38.408664,22.770801,8065519862,operatorellada1991@hotmail.ger,https://www.legal.home.in.mp4,1.31,90
Military Car,Maria Takoroni,military,Ermou,30,75329,Trikala,Greece,37.566824,22.786541,3814580854,faviconellada1995@ece.ntua.met,https://www2.filesystem.softeng.ger.docx,1.22,134
Public Vehicle Charger,Vasilis Kolokotronis,public,Katexaki,60,41955,Larisa,Greece,39.152414,22.801381,5543719248,userellada1979@ece.ntua.met,https://telnet.legal.softeng.it.xlm,0.44,2
Military Home,Giorgos Anastasiou,military,Agiou Alexandrou,228,47593,Thessaloniki,Greece,37.668834,21.237411,4890646563,faviconrandom1941@mailfence.ger,https://www2.google.ece.ntua.uk.mp3,3.7,88
BP Car,Vasilis Sotiropoulos,commercial,Kokkinopoulou,156,45524,Alexandroupoli,Greece,37.587064,22.679281,6173962254,johnmaestros1953@outlook.com,https://telnet.fancy.softeng.com.htm,0.67,55
National Home,Stella Sotiropoulos,public,Kifisias,59,79326,Trikala,Greece,38.377474,22.865041,2267346146,userpapadakis1988@yahoo.us,https://snr.mama.softeng.gr.html,3.91,87
Super Car,Giannis Kolokotronis,private,Poseidonos,147,14250,Alexandroupoli,Greece,37.398664,22.353431,6272909015,providerforthewin1999@mail.ntua.ger,https://snr.mama.home.eu.ddl,1.15,190
Military Home,Makis Kapodistrias,private,Axilleos,92,47875,Alexandroupoli,Greece,38.018474,23.328151,3541933859,mariapapadakis2006@ece.ntua.it,https://snr.legal.ece.ntua.ger.pdf,3.34,180
Electric Vehicle Charger,Mixalis Papadakis,public,Syggrou,120,50070,Drama,Greece,37.495544,23.925181,3155541277,lordpapadakis1956@mail.ntua.gov,https://www.webpage.home.gr.json,1.53,92
Public Station,Xenia Papadopoulos,military,Dionisiou Aeropagitou,32,29304,Thessaloniki,Greece,38.288494,23.225991,9139128280,giorgossupertroll1993@protonmail.gr,https://www.minister.home.com.xlm,4.0,113
Euro Home,Marios Papadopoulos,private,Kifisias,105,72153,Karditsa,Greece,38.575814,23.396491,4992434494,providerpapadakis1997@outlook.in,https://email.bing.ece.ntua.us.mp3,3.42,15
