"Name","Surname","Birthdate","BonusPoints","Phone"
"Marios","Papathanasiou","8/3/1967","5","6977708013"
"Anna","Iordanidou","12/22/1989","40","6932550098"
"Elpida","Kalogirou","1/19/1995","15","6947868804"
"Andreas","Theodorou","6/7/1972","100","6908551239"
"Eleni","Chatzi","9/20/1955","0","6977808923"
"Alexandros","Antonopoulos","3/19/1991","10","6990455510"
"Apostolos","Stavrianos","11/24/1960","25","6930018111"
"Mirto","Dimaki","10/2/2000","125","6912399902"
"Stamatina","Giannopoulou","2/26/1979","140","6940870011"
"Konstantinos","Petridis","11/1/1980","50","6973566120"
"Petros","Anastasiou","7/20/1951","0","6901022678"
"Margarita","Chatzithoma","4/14/1992","35","6940508120"
"Georgia","Papanastasiou","8/12/1990","80","6987060122"
"Christos","Komninos","12/9/1976","45","6952433914"
"Stylianos","Andreadakis","5/28/1981","60","6956907213"
"Vasileios","Kechagioglou","1/25/1962","10","6980701135"
"Danai","Apostolidi","10/10/1959","0","6939082556"
"Stefanos","Adamiakis","11/28/1975","0","6947128805"
"Pinelopi","Vasileiou","12/5/1986","25","6971200090"
"Markos","Dimitropoulos","3/30/1994","30","6971263393"
"Dionysios","Vlachos","10/1/1983","160","6982123240"
"Sofia","Eythimiou","4/4/1964","110","6978889815"
"Athina","Strati","9/18/1969","75","6930855440"
"Ioannis","Kriezis","10/30/1963","60","6978112560"
